     [00]part_tag         [01]time         [02]posx         [03]posy         [04]posz         [05]velx         [06]vely         [07]velz       [08]accelx       [09]accely       [10]accelz        [11]anglx        [12]angly        [13]anglz         [14]mass         [15]mdot        [16]ptime
            65540  3.899281608E+13 -7.555919040E+18  9.556720578E+18 -4.617096564E+17 -2.127161306E+04  3.397874049E+04  3.669498801E+04 -5.986869452E-10  1.800627553E-09 -2.016253484E-10 -7.948409382E+51 -1.767663555E+51  9.318156243E+51  3.629644566E+32  7.079612848E+20  3.846318013E+13
            65540  3.901318218E+13 -7.555971816E+18  9.557094758E+18 -4.613444654E+17 -2.121120207E+04  3.403409908E+04  3.687876086E+04  2.766990773E-09 -1.722821832E-10  1.111963467E-09 -8.694908572E+51 -1.701176788E+51  1.011902274E+52  3.779978966E+32  7.381597720E+20  3.846318013E+13
            65540  3.905396505E+13 -7.556108277E+18  9.557896789E+18 -4.605892318E+17 -2.125370032E+04  3.433295762E+04  3.720492378E+04 -4.787862033E-10  1.837714036E-09 -1.296834323E-10 -1.035902427E+52 -1.532273600E+51  1.183515160E+52  4.081009783E+32  7.381305385E+20  3.846318013E+13
            65540  3.907434855E+13 -7.556167056E+18  9.558312820E+18 -4.602077737E+17 -2.120486598E+04  3.439271342E+04  3.740742533E+04  2.570896778E-09  2.497855654E-10  1.443800664E-09 -1.127157325E+52 -1.424274317E+51  1.275252537E+52  4.239206198E+32  7.761004344E+20  3.846318013E+13
            65540  3.911508830E+13 -7.556324805E+18  9.559193176E+18 -4.593719933E+17 -2.125013903E+04  3.468840338E+04  3.773949070E+04 -3.499130465E-10  1.881378038E-09 -6.715857645E-11 -1.323121501E+52 -1.086402417E+51  1.466956924E+52  4.551714916E+32  7.670854699E+20  3.846318013E+13
            65540  3.913548788E+13 -7.556405672E+18  9.559660555E+18 -4.589255634E+17 -2.121288166E+04  3.474997451E+04  3.793768934E+04  2.377349900E-09  6.480525812E-10  1.762610913E-09 -1.421252128E+52 -7.963156625E+50  1.564631565E+52  4.713818107E+32  7.946400160E+20  3.846318013E+13
            65540  3.917618295E+13 -7.556827113E+18  9.560717565E+18 -4.578766387E+17 -2.120868330E+04  3.503063202E+04  3.816092998E+04 -2.115248669E-10  1.934505710E-09 -1.709295214E-11 -1.626510574E+52 -1.393768976E+51  1.707949156E+52  5.041207069E+32  8.044929501E+20  3.846318013E+13
            65540  3.919656752E+13 -7.557095816E+18  9.561288125E+18 -4.572918709E+17 -2.114245705E+04  3.508869839E+04  3.827495811E+04  2.256887903E-09  9.903771262E-10  2.008846694E-09 -1.723927438E+52 -1.997170561E+51  1.762377715E+52  5.211973826E+32  8.377255471E+20  3.846318013E+13
            65540  3.923725610E+13 -7.557628267E+18  9.562456544E+18 -4.560349634E+17 -2.111453172E+04  3.536604910E+04  3.838634849E+04 -3.170467827E-11  2.007452240E-09  6.740662123E-12 -1.886684049E+52 -3.167247460E+51  1.867959169E+52  5.543079025E+32  8.137546285E+20  3.846318013E+13
            65540  3.925763026E+13 -7.557892571E+18  9.563050418E+18 -4.553531871E+17 -2.105861921E+04  3.543030283E+04  3.845810551E+04  2.217103031E-09  1.283536948E-09  2.153713349E-09 -1.953416834E+52 -3.747107096E+51  1.920827886E+52  5.708916210E+32  8.139581740E+20  3.846318013E+13
